Customer_id,Consumer complaint narrative
11,"Since XX/XX/2023, Westlake financial has been calling several times a day and more than 7 times within one week. They repossessed my car and provided misleading and inaccurate information about the process. My car was repossessed when my payment was 54 days last due ; however, I was informed during a prior call that it would not occur until 60 days past due. When Ive tried to communicate with a representative, I was told I was lying. They cut me off, spoke over me, and addressed me in a belittling manner."
12,"Hi my name is XXXX XXXX, and I signed up for Synchrony bank through Amazon to make a purchase of {$88.00} on XX/XX/XXXX and was never issued a credit card by mail. Without the card I was unable to sign into my account with Synchrony bank which ended in XXXX. I was unable to log on to my account until yesterday, XX/XX/2023 and I paid off my debt. My credit score went down and my Synchrony account shows that I made the payment but they are still demanding {$44.00} and saying that my account is delinquent. I have been getting harassment calls every single day since XXXX about making a payment and still got a call this morning even though my payment was processed."
13,"In XXXX, XXXX, I requested a refund of payments made during the XXXX forbearance from my servicer XXXX that the company never filed. On XX/XX/XXXX, I contacted my current servicer, Mohela, for a refund. I filed CFPB complaint # XXXX on XXXX and on XXXX, Mohela sent a letter stating that it had been sent to the Treasury for XXXX and that I would receive a check within 30 days. On XXXX, my student loan balance went up reflecting the refunded amount being applied back to my account. 

It's XXXX, and I still have not received a check. I finally reached out to my XXXX who contacted the Department of Treasury for me to check on the status. The response to their office was that Treasury had not received the request ( language copied from email ) : When a payment does not appear in XXXX, it means payment instructions have not yet been transmitted to XXXX. The forbearance payment promised by Mohela is still with Mohela or whatever agency would transmit the payment instructions to XXXX. You will need to redirect this inquiry to determine when payment instructions will be transmitted to XXXX. 

I can not get an answer from Mohela has to how long it takes Treasury to receive information to issue a check but 2 months seems excessive. It appears that the problem is on Mohela 's end, not on Treasury 's."
14,"I called midland to discuss the debt, they cant pull-up debts information using my phone number, when gave them my number they asked me if Im someone else, I think this midland account is not belong to my name"
15,"On XX/XX/XXXX I applied for a HELOC with United Wholesale Mortgage in the amount of {$110000.00}. On XX/XX/XXXX I closed on that HELOC and provided instructions that I wanted an initial advance in the amount of {$60000.00}. 

{$60000.00} was deposited into my checking account on XX/XX/XXXX. 
I received my first statement, dated XX/XX/XXXX, from UWM which states the outstanding principal balance of my HELOC is {$110000.00}. Puzzled, I reached out to UWM and asked them why my statement suggests that I had accessed/used the entire balance of my HELOC. The customer service agent I spoke with was unable to locate my closing documents and suggested that the remaining balance of the HELOC was likely used to pay off other creditors. This did not happen. I did not ask for my other debts to be paid off they have not been paid off. And I did not/have not taken any additional draws on the HELOC. I was informed I can submit a qualified written request challenging the accuracy of the outstanding principal balance. 

In the closing documents I was provided a copy of, the settlement statement shows the following : Loan amount = {$110000.00} Total of Origination Costs = ( {$5300.00} ) Due to Borrower = ( {$60000.00} ) HELOC Balance = {$47000.00} Id like UWM to provide me with a register of activity associated with my HELOC so I can understand where the remaining {$47000.00} was allocated. If there is other disbursements from my account these were either incorrectly applied to my account or they are fraudulent transactions. 

My current loan payment, due XX/XX/XXXX, is {$860.00}. This was calculated using interest applied to the incorrect and overstated outstanding balance of the loan. Id like this and subsequent payments to be corrected to accurately reflect my outstanding principal balance of {$60000.00}."
16,"On XXXX XXXX or XXXX / 2022 I called use bank and told them I left my wallet and phones at jewelry shop in the XXXX XXXX located in California I told the because I do not have my phone with me so when I`m trying to login to my online banking to check the activities It s asking for a pin for verifications which it send to my phone so I do not have my phone with me so I cant check my online ban king or I wont get notification if there are charges on my account. I called them during night time lets say between XXXX till XXXX because when I went bacK to get them the mall was closed. 
they customer service refuse to block or put a hold on my account and they told me if something happens you can dispute the transaction! 
there where almost about XXXX worth of transactions on my account I called them on Monday and dispute those transactions after 2 months calling them regarding my case status they were keep saying it s been under investigation! 
and when I called last time the supervisor called me back and told me next morning they will credit it back to my account. they did 2 wire transfers each about like XXXX from XXXX XXXX  and that was wired usually you get refunded by each transaction not like full amount in once so then I was okey there have not refunded me the XXXX remaining balance so I waited two days and while I was waiting they called me and told me after 3 months investigating all those transactions are correct and they told me now I Owen them for those transactions which it was about XXXX so they took almost more then XXXX from my account and they put XXXX  negative balance on my account and then blocked me from online banking so I lost almost XXXX over there and I had to wait 3 months for them to refund me the XXXX which they did XXXX and retook it right after 2 days and closed my business account then every month they called me and harassed me and Now I`m keep getting letters from Debt collections. because of their actions I lost my time lost money and after that I could not open up another bank account for my business .please help me out to resolve my issues all my calls are recorded with them so I`m at the right side I have not done anything wrong and they just used their power and did all those stuff to me.Please help me out if it s possible to save my money and account. 
thank you my name is XXXX XXXX and my company name was XXXX XXXX"
17,"Wakefield and associates is listing an account on my credit reports. I disputed the debt. The creditor and/or credit reporting agency stated the account meets FCRA requirements XXXX 

However, this collection agency has failed to meet FCRA requirements. Im asking that the collection agency provide me with the original contract, payment history, and proof of ownership of this debt. I have never heard of Wakefield and associates. I have no contract to do business with them at all. 
I have been denied housing. This account is harming my ability to secure suitable housing for my family at this time."
18,"I received a communication from Venmo that I was approved for a credit card on XX/XX/XXXX, but I never applied for the card. I then received an email that I was being shipped a Venmo credit card from Synchrony bank ( XX/XX/XXXX ). My Venmo account does not have a shipping/billing address associated with it, but I do have other cards through Synchrony. I believe that Venmo/Synchrony opened the account against my will and used my shipping information associated with my other accounts in order to send me a card to meet their quota ( the hallmarks of my case are very similar to that of the XXXX XXXX offense several years ago ). I called and was able to close the account so that the card can not be used when it arrives, but I do believe that the strike against my credit score was done without my consent."
19,"I decided to switch fromXXXX to another carrier. In order to do that and keep my same phones, it was required to pay off remaining balance which were the cost of the phones and monthly phone bill. Two payments were provide to complete this before they would unlock the phones to allow the new carrier to activate them. The first payment was for {$440.00} paid on XX/XX/2022 at XXXX XXXX. The phones still wouldn't activate which lead me to call back to be told there was still a balance that needed to be paid and the second payment was {$180.00} on XX/XX/2022 paid at XXXX XXXX. I talked to three people who advised that all balances were now paid and the account was successful closed and phones will now be able to be unlocked for the new carrier. All of a sudden I receive a XXXX point decrease across all three credit reporting for collections from XXXX XXXX  to collect {$460.00} for the cost of the phones! Ultimately they deleted and the law office closed the account after proof was sent and now sent to another company, Credence Resource Management for the same amount. I have spoken with XXXX XXXX again who stated they opened investigation because they can only find the {$180.00} payment and will call me in 5 days and that was over 30 days ago. I called the collection company and they keep saying pay. I was in the middle of buying a house and this stopped me causing devastation to my family! I want this DELETED for all three reports NOW!"
20,"I can't reach a supervisor to discuss issues with my PSLF forgiveness. Mohela shows my forgiveness only going back to XX/XX/XXXX when it should go back to XX/XX/XXXX. This has caused my PSLF payment count to only go from XXXX/XXXX to XX/XX/XXXX. My loan has been forgiven but if my payments were properly accounted for, forgiveness should be from XX/XX/XXXX to XX/XX/XXXX. That would mean any payments after XXXX would be refunded. 

I've tried calling Mohela several times to discuss this with them but whenever I contact them and get transferred to a supervisor I either get disconnected or wait on hold for hours and no one picks up."
21,"I was charged {$620.00} on XXXX XXXX and I did not authorize this charge. I immediately called Citibank to rectify the situation and they gave me a provisional credit. I had never been to this establishment or heard of it. I got a new card in the mail. Today, on XX/XX/XXXX, I went to deposit money into my account to pay my wifi bill, and it was negative XXXX dollars. I was shocked. It said that the charge was reversed in favor of the business. However, Ive never been here and Id like to see the proof that I was here and paid for this. Im currently pregnant and unemployed and this is proving to be a severe hardship for me that I cant pay bills on this account. I have only ever filed one dispute before this and that was back in XXXX XXXX XXXX, so this is not a common occurrence for me to file disputes. I would just like my money back as it is mine."
22,On XX/XX/2022 XXXX XXXX Opened A Cell Services Account & Extended Credit & Illegal Phone Services & Devices In My Name Without My Consent Inquiring On My Credit File Without Verifying & I Have Fraud Alerts Set Up & Wasn't Notified At The Time These Action Took Place I Explained To The Company I Am A Victim Of Identity Theft And Sent All Proving Documents My Consumer Rights Has Been Violated & I Shall Send A Invoice & Make My Attorney Aware Of These Items If They Aren't Removed In A Timely Manner XXXX XXXX ACCOUNT NUMBER XXXX AMOUNT : {$2000.00}
23,I DID RECIEVE INITIAL BILLING ON THIS AND PROVIDED INSURANCE INFORMATION FOR BILLING AND THEN NEVER RECEIVED ANOTHER BILL. THEN IT APPEARED ON MY CREDIT. I HAVE DISPUTED IT ALREADY XXXX ON MY CREDIT AND ASKED THAT THEY SEND DOCUMENTATION FOR THIS ACCOUNT SUCH AS COMMUNICATION CORRESPONDENCE FOR BILLING ATTEMPTS AND OR ABY AND ALL CORRESPONDENCE. NOTHING WAS EVER SENT.
24,Messerli Kramer bought my credit debt from XXXX XXXX They have garnished my paycheck twice now when I have been on medical assistance. They have not credited me the amount they have illegally garnished from me and continue to try to ask for more proof of me being on medical assistance over and over again. I switch jobs and they instantly ask for proof of medical assistance which i provide and they still garnish for a short time never giving me credit for the amount taken. They have garnished over {$800.00} that has not been credited to my amount owed and continue to try to garnish my checks.
25,"Check # XXXX for {$4800.00} was issued from my business PNC account to a vendor on XX/XX/2022. My vendor deposited the check and it cleared my PNC account. On XX/XX/2022 the vendor sent me his statement from his bank ( XXXX XXXX ) that the check had been pulled from his account with a error notice "" to referr to maker ''. My client does not have the funds and XXXX XXXX has confirmed the funds were sent back to PNC and provided their batch number for the transaction. PNC has not yet returned the funds to my account. I reached out to my business banker on XX/XX/XXXX and placed an escalation call to PNC customer service. I have reached out multiple times and still have no answer to where my funds are."
26,"Hello My name is XXXX XXXX. According to 2 letters I received from Phoenix financial services, Original Creditor XXXX XXXX response, Current Creditor XXXX XXXX XXXX, XXXX. I've managed to contact Phoenix Financial Services, LLC over the phone and asked to disputed this for lack of information so the did, 2 weeks later I received a letter stating its my debt. The letter didn't have my social security number not even the last four digits, so I called them back and asked them to send me anything that I may have signed and they refused telling me they can't do that and that I need to get a police report instead after they will remove the debt from my credit report. I feel like no one is trying to help me resolve this issue that I clearly have no idea about nor have I ever been to the part of the state to accumulate this debt why won't they send me proof with my signature to prove it belongs to me.

Creditor Account XXXX XXXX Phoenix reference numbers XXXX, XXXX XXXX {$2300.00} claimed That I owe. I've disputed with XXXX 3 times I've disputed with the collection agency once after so many attempts trying to contact them and the original Creditor, Phoenix Financial Services, LLC ( XXXX XXXX XXXX XXXX Indiana XXXX ) Phone number XXXX"
27,"I applied for a personal loan, as I'm on long term XXXX. The loan was approved for {$1900.00} and my credit report and number was pulled. I signed the contract after requesting XXXX of the available limit. After signing the contract I was notified that my loan was denied."
28,"On XX/XX/XXXX I received a letter from this company stating they used my information to submit an application on my behalf in XX/XX/XXXX. 

They stole my identity and information for use of their own benefit. They lowered my credit score by fraudulent practices for their own benefit costing me careers, education, other financial services opportunities such as getting a bank account or credit card, a car and a mortgage. They directly impacted my life in a manner that cost me and my child ( ren ) their livelihood. 

They also ran my social security number over eleven times in XXXX and refused to acknowledge any of their mistakes instead stating that I was crazy. They would often gaslight me and say that calls I had with them did not happen though I recorded some of them and my account from my phone company does in fact reflect the calls were made. They have caused me mental anguish, anxiety and a loss of faith in the credit system and banks."
29,"I signed up for a Capital One Quick Silver Credit card, and got approved. The reason I chose this credit card was because I saw the advertised New cardmember bonus which would reward you {$200.00} if you spent {$500.00} in the first 3 months of owning this card. I signed up and turns out I didn't get the Newcard member bonus. So I called them and they explained that basically based on my credit score, I didn't receive the bonus. But nothing in the disclosures of this benefit says anything about not receiving the full benefits of the advertised {$200.00} Newcard member bonus. All it says and I fully read it, is that if you already have or have previously had a Captial one account you may not be eligible for this bonus. I never had a Capital one Credit card or account this is my first time. So they lied, made it up probably that it was cause of my credit score that I did not receive the bonus. I was unfairly denied the newcard member bonus. I should have received this benefit as it was advertised and I fell under the requirement which is being a new member. But I did not receive the bonus. I want to have the bonus that was clearly advertised as so, and also did not state that certain conditions apply in the advertisement. Just it saying new members get a {$200.00} bonus if they spend {$500.00} within the first 3 months of owning the credit card."
30,"On XX/XX/XXXX I received an email saying an order was picked up and my credit card was charged. I did not place an order and I was not even in the same state as the pickup location. 
I called immediately to dispute this. 
The card 's automated system kept going in circles and would not let me speak to a person, nor would it transfer me to the correct department of the button I was pressing. It asked for my social about 6 times. 
This company offers NO option to dispute a charge online, only to print a document and mail a physical copy. 
I was finally able to speak to a person after more than 2 hours of holding and transfers and calling back after disconnects. This person guaranteed me that the charge was removed the same day it was added, although I requested written confirmation of this and they declined. 
It is XX/XX/XXXXXXXX  and the charge is still there. 
I am absolutely sick of these fraudulent companies taking advantage of people who don't want to wait on hold for half a day. "" I apologize for the inconvenience '' - this isn't inconvenience, this is THEFT. 
Upon calling back, they had NO RECORD of any phone calls from XXXX or ever. They gave me COMPLETELY different information about "" the process '' and without my permission CLOSED THE ENTIRE ACCOUNT so now I can't use it at all - and this is an account that I use frequently for personal and business so the 5 % discount is substantial. 
The way Synchrony handles this is absolutely shameful and absurd and can only be designed to make people give up by frustration - these practices should be illegal."
31,I got a phone call from XXXX at XXXX. I was in a loud place so I kept saying hello. A lady told me to lower my voice in a rude tone. I told her not to speak to me in that deragotory manner and she ultimately called me a XXXX. She never said a name of who she was looking for and was very aggressive towards me from the onset. I called back and demanded that all calls be stopped unless they behave in a professional manner. Secondly they behaved as if they had a right to threaten and harras me because they think I owe a debt.
32,"I opened my Citi Accelerate on XXXX XXXX under the bonus terms as stipulated in the Welcome Package I received from Citi. I qualified for and completed all four activities and should have receive my {$450.00} bonus by XX/XX/XXXX at the latest. I still have not received it. 

I contacted a representative ( XXXX ) about the matter on XX/XX/XXXX. I received an on line notice today stating that my account was never linked to the promotion and therefore, I did not qualify for the promotion. 

When I opened the account the agent stated that it was opened with the promotional bonus plan, and that is why I received the Welcome Package with pages that specifically detail the bonus schedule. I copies of the promotional bonus plan detailed in my Welcome Package as proof. These are attached to my complaint. 

Please contact Citi to payout the {$450.00} bonus that Ive earned."
33,"Hi, According to the Fair Debt Collection Practice XXXX XXXX XXXX XXXX are in direct violation of the following : 809. Validation of debts ( a ) Notice of debt ; contents Within five days after the initial communication with a consumer in connection with the collection of any debt, a debt collector shall, unless the following information is contained in the initial communication or the consumer has paid the debt, send the consumer a written notice containing -- ( 1 ) the amount of the debt ; ( 2 ) the name of the creditor to whom the debt is owed ; ( 3 ) a statement that unless the consumer, within thirty days after receipt of the notice, disputes the validity of the debt, or any portion thereof, the debt will be assumed to be valid by the debt collector ; ( 4 ) a statement that if the consumer notifies the debt collector in writing within the thirty-day period that the debt, or any portion thereof, is disputed, the debt collector will obtain verification of the debt or a copy of a judgment against the consumer and a copy of such verification or judgment will be mailed to the consumer by the debt collector ; and ( 5 ) a statement that, upon the consumer 's written request within the thirty-day period, the debt collector will provide the consumer with the name and address of the original creditor, if different from the current creditor and Validation of Debts - 12 CFR 1006.34 AND 1006.38 The debt collector must provide the consumer with validation information in a clear and conspicuous form in the initial communication or within five days of the initial communication. XXXX XXXX XXXX XXXX has failed to provide validation information such as, - The debt collector communication disclosure required by 12 CFR 1006.34c1 - The information about the debt required by 12 CFR 1006.34c2- The information about the consumer protections required by 12 CFR 1006.34c3 - The consumer response information required by 12 CFR 1006.34c4 XXXX XXXXXXXX XXXX XXXXXXXX is in direct violation of Consumer Law 15 USC 6802 ( a ) and 15 USC 6802 ( b ) which states : ( a ) Notice requirements Except as otherwise provided in this subchapter, a financial institution may not, directly or through any affiliate, disclose to a nonaffiliated third party any nonpublic personal information, unless such financial institution provides or has provided to the consumer a notice that complies with section 6803 of this title. ( b ) Opt out ( 1 ) In general A financial institution may not disclose nonpublic personal information to a nonaffiliated third party unless ( A ) such financial institution clearly and conspicuously discloses to the consumer, in writing or in electronic form or other form permitted by the regulations prescribed under section 6804 of this title, that such information may be disclosed to such third party ; ( B ) the consumer is given the opportunity, before the time that such information is initially disclosed, to direct that such information not be disclosed to such third party ; and ( C ) the consumer is given an explanation of how the consumer can exercise that nondisclosure option. XXXX XXXX XXXX XXXX has never contacted nor attempted to contact me in any way."
34,"National Credit Systems , INC is operating with out a state license and not registration in South Carolina according to the XXXX consumer access report. They have added two collections on XXXX and XXXX and I would like them removed for this illegal tactic they're doing. How many others are subjected to this and don't know. They are only licensed for 13 states. Please see attached."
35,"Multiple submissions linked to this company XXXX XXXX XXXX XXXX in Washington State. 

This is one of the three corporate bank accounts used. Once fraudulent activity was identified, we contacted their fraud department, submitted necessary information and all claims were denied, no explanation given. 

Files attached include total fraud dollar detail, former bookkeeper admission of guilt texts and XXXX XXXX XXXX XXXX department case report."
36,"My name is XXXX XXXXI had a problem obtaining credit and I checked my credit report and notice that i had XXXX debt collection accounts that wasn't mines, these XXXX accounts is the reason i keep getting denied Experian have no proof nor do they have on file my written consent for this to be reporting or thst this debt is associated with me. I will just like for the cfpb to resolve this fraud issue Accounts ; XXXX XXXX XXXX XXXX XXXX XXXX"
37,"There has been a collection placed on my account with XXXX. It has shown to me from multiple credit access accounts several different amounts, dates it was opened on etc. 

This amount has not been validated through a judgment nor a wet signature from me. 
I spoke with XXXX about these issues ( after promptly sending letters and disputing on multiple occasions ), we spoke on XX/XX/2023 and they confirmed that they are reporting inaccurate amounts for XXXX and XXXX and have put this in dispute via telephone. 

This will be my complaint amongst multiple."
38,I was paid {$5000.00} for some sneakers I had sold to the buyer. I put the money in my account and the check was fake. The bank closed my account and is now charging me for the amount of {$5000.00}
39,"Bridgecrest is the company that I have my auto loan through. I recently spoke with them because I was told that if I was on the app I would see what day I would have to worry about my car being repossessed or being in repo status. I noticed a tow truck car driving by my house and decided to call them and I talk to a representative who then told me that I had had 24 failed bill pay payments go through my account since the beginning of the year of XXXX this was shocking to me because I knew that the total was always so high of what the bill and payments did they wanted were and then it never seem to go down a matter how much I Paid, Ive had this car and repossession status several times because they never are straight with what is going on with the account. I was told by this representative that XXXX XXXX bill pay was trying to take out every week or so money to pay on my loan, but I havent had a XXXX XXXX account since XXXX. Theres no way that I will have an account open in order to do a bill pay and when I called XXXX XXXX and ask them about it they had no idea what I was talking about so I asked Bridgecrest if they would refund the fees that come with each of these billpay payments being returned, which is adding up to be now hundreds of dollars And I was told no. I believe Bridgecrest is a predatory loan company I think that they dont want me to do well with this loan they dont want me to pay on time they want to repossess the car again because they know that I will get it out because Ive already done that twice. Ive proven that I have the ability to Pay the extra money that cost to get it repossessed and out of repossession. I think they bank on that and I think they live off those fees that theyre charging me off some bogus XXXX XXXX bill pay that no one can explain to me if you think about it 24 payments through this XXXX XXXX bill pay they charge me a return fee of {$24.00}. Every time thats over {$400.00} that that, I am owing that I should know because I never sent anything up like that. Im hesitant to pay them any money at all because Im not sure where they apply. It seems to only go towards the interest and never towards the principal and I am afraid that its in their best interest to repossess the car, rather than let me pay off the loan, also I was told that someone manually put me into repossession status, which is why I was not able to see it on the app and it came right after my negotiation with another auto dealer who would be willing to pay off my loan from Bridgecrest and instead lend to me for a new car. Its my belief that Bridgecrest would rather get the car and sell it then have me have someone pay off the 10 day payoff quote, which would be thousands of dollars that they would miss out on on these bogus fees."
40,"I want this late payment remove from my account, and I never been late with this account I working so hard to pay this monthly and this is not acceptable. 
See the documents attached."
41,"How can a complaint be closed if not resolved? I still got a XXXX a year increase stating short funds in escrow, but my taxes and insurance have remained the same ...."
