POSITION_CODE,DEPARTMENT_CODE,DAYS_WITH_COMPANY,COMMUTE_TIME,AGE_BEGIN_PERIOD,GENDER_CODE,ATTRITION,PERIOD_TOTAL_DAYS,STARTING_SALARY,ENDING_SALARY,NB_INCREASES,BONUS,NB_BONUS,VACATION_DAYS_TAKEN,SICK_DAYS_TAKEN,PROMOTIONS,NB_MANAGERS,DAYS_IN_POSITION,DAYS_SINCE_LAST_RAISE,RANKING_CODE,OVERTIME,DBLOVERTIME,TRAVEL
2200,320,1254,0,32,0,1,330,25230.77,26846.15,1,1009.2308,1,15,9.5,0,1,1254,150,3,170.15625,24.4125,0
2300,320,1104,9,37,1,0,310,58807.69,71500,1,0,0,28,4,0,1,240,240,3,0,0,0
2300,320,1017,104,39,1,1,330,76769.23,82038.46,1,1640.7692,1,20,10,0,1,1017,270,3,0,0,0
2400,320,330,23,23,0,0,330,35000,35000,0,0,0,0,11.5,0,1,330,330,3,0,0,0
2400,320,210,40,32,1,0,210,35000,35000,0,0,0,0,7,0,1,210,210,3,0,0,0
2400,320,240,19,26,1,0,240,35000,35000,0,0,0,0,2,0,1,240,240,3,0,0,0
2400,320,1180,0,32,0,1,330,41153.85,44230.77,1,1646.154,1,22,5,0,1,1180,60,4,130.5,50.1075,0
2400,320,1474,0,26,1,1,330,44230.77,47307.69,1,1892.3076,1,18,4,0,1,1474,0,3,69.75,0,0
2500,320,1550,18,35,1,0,330,63461.54,68115.38,1,3807.6924,1,21,6,0,1,793,90,4,0,0,0
2500,320,910,17,30,1,0,330,54153.85,58807.69,1,1176.1538,1,10,9,0,1,910,180,2,0,0,0
2500,320,394,0,27,1,0,180,49500,54153.85,1,0,0,0,5.5,0,1,394,30,2,0,0,0
2500,320,1125,0,25,0,1,330,53307.69,57461.54,1,3198.4614,1,13,5,0,1,1125,30,4,34.59375,12.4565625,0
2600,320,2280,13,31,0,0,330,30076.92,31692.31,1,601.5384,1,17,12,0,1,2280,90,2,32.875,7.15,0
2600,320,1825,0,32,0,0,180,28461.54,30076.92,1,1138.4616,1,7,3.5,0,1,1825,0,3,17.25,0,0
2600,320,850,0,31,0,0,180,23615.38,25230.77,1,1009.2308,1,5,4,0,1,850,120,3,37,0,0
2600,320,150,0,26,1,0,150,22000,22000,0,0,0,0,2,0,1,150,150,3,18,0,0
2600,320,575,0,31,1,0,180,23615.38,23615.38,0,472.3076,1,7,6,0,1,575,210,2,35.75,0,0
2600,320,485,0,24,1,0,180,22000,23615.38,1,944.6152,1,19,5,0,1,485,120,3,20.75,0,0
2600,320,818,0,31,1,1,330,23615.38,25230.77,1,0,0,25,9,0,1,818,60,2,130.78125,10.7859375,0
2600,320,2687,0,35,1,1,330,31692.31,33307.69,1,1267.6924,1,15,11,0,1,2687,120,3,255.9375,71.7609375,0
3100,380,1460,59,39,0,0,330,78846.15,84961.54,1,1576.923,1,19,10.5,0,1,1460,0,2,0,0,0
3100,380,1035,52,42,1,1,300,72730.77,72730.77,0,2909.2308,1,17,6.5,0,1,1035,1030,3,0,0,0
3100,380,1197,30,46,0,1,330,72730.77,78846.15,1,2909.2308,1,22,11,0,1,1197,90,3,0,0,0
3100,380,1657,0,39,0,1,330,78846.15,84961.54,1,1699.2308,1,20,13,0,1,1657,180,2,117,24.3,0
3200,380,789,0,38,0,0,180,33461.54,36923.08,1,738.4616,1,6,2,0,1,789,60,2,0,0,0
3200,380,1299,46,31,0,1,0,40384.62,40384.62,0,0,0,0,0,0,1,1299,1275,3,0,0,0
3300,380,515,33,32,1,0,330,44000,47538.46,1,0,0,8,4.5,0,1,515,150,1,0,0,0
3300,380,1425,42,33,0,0,330,54615.38,54615.38,1,2184.6152,1,20,10,0,1,1425,330,3,0,0,0
3300,380,150,20,24,0,0,150,40000,40000,0,0,0,0,2,0,1,150,150,3,0,0,0
3300,380,879,0,33,1,1,330,47538.46,51076.92,1,2852.3076,1,22,1,0,1,879,120,4,72,0,0
3300,380,783,0,33,0,1,330,47538.46,51076.92,1,2852.3076,1,25,11.5,0,1,783,30,4,34.59375,12.4565625,0
3400,380,2370,13,32,1,0,330,27000,28000,1,560,1,15,12,0,1,2370,180,2,54.25,14.50625,0
3400,380,1095,19,22,0,0,330,21769.23,22653.85,1,1306.1538,1,16,5.5,0,1,1095,0,4,37.25,7.8525,0
3400,380,180,0,22,1,0,180,22000,22000,0,0,0,0,3,0,2,180,180,3,31,7.155,0
3400,380,620,0,20,0,1,330,22000,23000,1,0,0,19,18.5,0,1,620,240,3,106.3125,9.1125,0
3600,350,485,28,44,0,0,330,28500,30538.46,1,0,0,14,7.5,0,1,485,120,3,0,0,0
3600,350,1855,30,50,0,0,330,36653.85,38692.31,1,733.077,1,10,6,0,1,1855,30,2,0,0,0
3600,350,1160,27,37,1,0,335,22876.92,25650,1,915.0768,1,17,1,0,1,90,90,3,6.5,0,0
3700,350,790,21,24,1,0,330,23615.38,25230.77,1,944.6152,1,8,4,0,1,790,60,3,53.375,12.75125,0
3700,350,970,15,25,0,0,330,21438.46,22876.92,1,457.5384,1,16,8.5,0,1,970,240,2,48.5,12.49,0
3700,350,2035,0,27,1,0,180,30076.92,30076.92,0,1804.6152,1,7,4,0,1,2035,210,4,20.5,0,0
3700,350,1073,46,27,0,1,330,25230.77,25230.77,1,1513.8462,1,15,6,0,1,1073,330,4,18.75,0,0
3700,350,1778,0,28,0,1,330,26846.15,28461.54,1,2276.9232,1,7,5.5,0,1,1778,300,5,57.09375,16.0875,0
3700,350,1537,0,33,1,1,330,26846.15,28461.54,1,1610.769,1,16,8,0,1,1537,60,4,149.34375,21.65625,0
3700,350,862,0,24,0,1,330,21438.46,22876.92,1,1372.6152,1,15,3,0,1,862,120,4,131.90625,10.0546875,0
3800,300,1730,6,37,1,0,330,40384.62,42846.15,1,2570.769,1,11,7.5,0,1,1730,270,4,0,0,0
3800,300,1908,15,36,0,0,330,35461.54,37923.08,1,1418.4616,1,20,9.5,0,1,880,150,3,0,0,0
3800,300,1304,25,41,0,0,330,37923.08,40384.62,1,1615.3848,1,23,6,0,1,1304,210,3,0,0,0
3800,300,1519,0,42,0,0,180,40384.62,42846.15,1,1713.846,1,4,3.5,0,1,1519,60,3,0,0,0
3800,300,1701,46,36,0,1,330,40384.62,42846.15,1,1713.846,1,19,6,0,1,1701,240,3,0,0,0
3900,300,910,24,44,1,0,330,29615.38,31730.77,1,1269.2308,1,15,2,0,1,910,180,3,0,0,0
3900,300,2679,0,28,1,1,330,33846.15,35961.54,1,2030.769,1,5,6,0,1,1550,60,5,69.75,0,0
4000,300,2063,22,30,1,0,330,28153.85,29692.31,1,1187.6924,1,14,6,0,1,2063,240,3,21.25,0,0
4000,300,485,9,20,1,0,330,22000,23538.46,1,0,0,8,5.5,0,1,485,120,4,30.25,4.34,0
4000,300,760,34,32,1,0,330,23538.46,25076.92,1,1883.0768,1,20,4,0,1,760,30,5,90.28125,8.37,0
4000,300,708,0,34,1,1,330,23538.46,23538.46,1,1883.0768,1,25,8.5,0,1,708,330,5,100.6875,10.7859375,0
4000,300,847,0,32,1,1,330,23538.46,25076.92,1,1883.0768,1,20,4,0,1,847,90,5,109.6875,8.37,0
4000,300,1444,0,34,0,1,330,24107.69,24107.69,1,964.3076,1,12,8,0,1,1444,330,3,365.625,89.285625,0
4100,330,970,38,50,0,0,330,50769.23,56538.46,1,2261.5384,1,20,4,0,1,970,240,3,0,0,0
4100,330,790,20,47,0,0,330,50769.23,56538.46,1,3046.1538,1,20,4,0,1,790,60,4,0,0,0
4100,330,1335,38,51,0,0,330,56538.46,62307.69,1,3738.4614,1,30,13,0,1,1335,240,4,0,0,0
4100,330,993,94,44,1,1,330,45692.31,50884.62,1,0,0,12,8,0,1,993,240,1,0,0,0
4200,330,30,29,36,1,0,30,25300,25300,0,0,0,0,2,0,1,30,30,3,0,0,0
4200,330,300,16,31,1,0,300,23000,23000,0,0,0,0,12.5,0,1,300,300,3,0,0,0
4200,330,1185,37,30,1,0,330,27769.23,30153.85,1,1666.1538,1,20,13.5,0,1,1185,90,4,0,0,0
4300,340,270,34,34,0,0,270,45000,45000,0,0,0,0,2,0,1,270,270,3,0,0,0
4300,340,1460,18,50,0,0,330,58846.15,63461.54,1,2353.846,1,10,18.5,0,1,1460,0,3,0,0,0
4300,340,1184,6,28,1,0,330,54230.77,58846.15,1,3253.8462,1,27,9.5,0,1,1184,90,4,0,0,0
4300,340,850,0,36,0,0,180,49615.38,54230.77,1,3253.8462,1,9,0,0,1,850,120,4,0,0,0
4300,340,1670,0,51,0,0,180,63461.54,63461.54,0,2538.4616,1,5,6.5,0,1,1670,210,3,0,0,0
4300,340,637,16,43,1,1,330,45000,49615.38,1,992.3076,1,7,11,0,1,637,270,2,0,0,0
4300,340,1614,64,32,0,1,330,58846.15,63461.54,1,2353.846,1,20,12.5,0,1,1614,150,3,0,0,0
4300,340,2452,0,46,0,1,330,68076.92,72692.31,1,2723.0768,1,22,4.5,0,1,2452,240,3,83.25,21.65625,0
4400,340,90,6,25,0,0,90,27500,27500,0,0,0,0,1,0,1,90,90,3,14.25,4.335,0
4400,340,1550,15,36,0,0,330,33846.15,35961.54,1,2030.769,1,22,9.5,0,1,1550,90,4,43.5,6.78625,0
4400,340,270,11,24,0,0,270,27500,27500,0,0,0,0,8,0,1,270,270,3,33.5,7.30625,0
4400,340,270,19,26,0,0,270,27500,27500,0,0,0,0,6,0,1,270,270,3,2.125,0,0
4400,340,150,30,26,0,0,150,25000,25000,0,0,0,0,6,0,1,150,150,3,28,14.05875,0
4400,340,1000,18,25,1,0,330,29615.38,31730.77,1,634.6154,1,24,7,0,1,1000,270,2,25.875,2.475,0
4400,340,1640,9,30,1,0,330,30653.85,32538.46,1,1301.5384,1,16,10,0,1,1640,180,3,32.875,5.29375,0
4400,340,150,19,31,1,0,150,25000,25000,0,0,0,0,3.5,0,1,150,150,3,30.875,12.45375,0
4400,340,545,0,38,0,0,180,29615.38,29615.38,1,1184.6152,1,4,4,0,1,545,180,3,51.5,0,0
