HIRED,Age,BusinessTravel,Education,RelevantEducationLevel,JobLevel,MaritalStatus,NumCompaniesWorked,OverTime,InterviewScore,ResumeScore,RequestedBenefits,TotalWorkingYears,PreferredSkills,YearsAtCurrentCompany,RelevantExperience,JobType,SalaryExpectation,IsFemale
0,20,1,1,3,0,1,1,0,0,1,0,1,1,1,0,1,2,0
0,30,1,3,3,2,0,1,1,0,3,0,9,1,9,1,1,2,1
0,28,2,2,2,0,1,7,0,0,2,0,8,1,0,0,0,2,1
1,43,2,3,3,1,0,1,0,3,2,1,7,1,7,7,1,2,0
0,37,1,3,2,1,2,1,0,0,1,1,7,1,7,2,1,2,1
0,51,1,3,2,2,0,4,0,2,2,1,5,1,20,2,1,1,1
0,18,0,2,3,0,1,1,0,0,3,0,0,1,0,0,1,1,0
0,37,1,2,3,1,2,5,0,0,2,1,4,2,10,2,1,1,0
0,43,1,3,3,1,2,5,1,0,3,1,4,2,0,2,0,1,1
0,40,1,3,3,0,0,3,0,1,2,1,7,2,4,2,1,2,0
0,33,1,3,2,0,0,1,0,0,2,1,2,1,2,2,1,1,1
1,34,1,1,3,0,2,1,1,1,3,0,9,2,8,3,1,1,1
0,34,1,1,2,1,1,4,0,0,2,1,5,1,6,2,1,2,1
1,56,1,1,1,2,1,4,0,3,0,0,37,2,6,4,1,0,0
0,32,1,1,2,1,0,1,0,0,2,1,14,2,14,13,1,2,1
0,22,2,0,3,0,1,5,0,1,2,1,4,2,2,2,1,1,0
0,47,1,2,3,1,1,1,1,3,2,0,9,0,9,0,1,2,1
0,54,1,3,3,2,0,9,0,0,0,1,16,1,4,3,1,1,1
0,52,0,3,2,2,1,1,1,2,3,0,33,1,33,7,0,2,0
0,29,1,1,2,2,2,3,0,0,1,0,9,1,7,7,0,1,1
1,32,1,2,2,0,0,0,0,2,1,0,11,2,10,8,1,1,0
0,37,1,1,3,1,0,3,0,0,0,1,9,1,4,3,1,2,0
0,44,2,0,3,2,1,5,1,0,1,0,16,1,2,2,1,2,0
1,42,1,1,3,2,0,0,0,0,2,1,21,1,20,7,1,1,1
0,48,1,3,3,1,2,8,0,0,2,1,18,1,8,7,1,1,1
0,26,1,3,2,1,1,4,1,0,1,1,5,1,8,2,1,1,1
0,35,1,2,2,0,0,1,0,3,3,1,1,1,1,0,1,2,1
1,24,1,2,3,1,0,0,0,2,0,1,4,1,3,2,1,2,1
0,46,1,3,4,2,1,0,0,0,0,0,3,2,26,1,1,2,1
0,35,2,3,3,1,0,0,1,2,2,1,5,0,4,2,1,2,1
1,34,1,3,4,1,1,1,0,3,3,0,10,2,10,7,1,1,0
0,24,1,1,3,0,0,2,1,0,0,1,6,1,2,0,1,1,1
0,39,1,4,3,1,0,5,0,0,3,1,4,2,7,2,0,1,0
1,56,1,1,3,2,0,7,0,3,2,0,30,0,10,7,1,0,0
1,37,1,1,3,0,1,1,0,1,2,1,8,2,8,6,1,1,0
0,38,1,1,3,1,0,3,0,0,2,1,18,2,1,0,1,2,1
0,35,1,0,3,0,0,0,1,2,3,0,4,2,3,2,1,1,0
0,22,2,0,2,0,1,5,0,0,2,0,4,2,2,2,1,2,1
0,39,1,3,2,2,2,6,1,0,3,0,21,2,19,9,0,1,1
1,48,1,1,2,2,1,7,0,2,1,0,26,1,14,10,1,1,0
0,18,0,0,3,0,1,5,0,0,3,1,4,2,0,2,1,1,0
0,28,1,1,3,0,0,1,1,0,2,1,1,2,1,1,1,2,1
1,36,2,2,3,0,1,4,0,1,2,0,13,2,8,7,1,1,0
0,53,1,3,3,2,1,6,1,0,1,0,15,1,2,2,1,2,1
0,39,1,0,3,2,0,5,1,0,3,1,4,2,21,2,0,1,0
0,36,2,0,2,0,1,4,0,0,0,1,5,1,8,2,0,2,1
